stem,detector,bin_name,severity,n_gt,recall
BJ_Baidu_459,yolo_nano,heavy,0.4714884757995605,3,0.6666666666666666
BJ_Baidu_474,yolo_nano,heavy,0.6557984352111816,51,0.0784313725490196
BJ_Baidu_476,yolo_nano,heavy,0.5507502555847168,16,0.1875
BJ_Baidu_478,yolo_nano,heavy,0.4892718195915222,47,0.0
BJ_Baidu_485,yolo_nano,moderate,0.4133697152137756,2,0.5
BJ_Baidu_487,yolo_nano,moderate,0.3913460969924927,7,0.5714285714285714
BJ_Baidu_491,yolo_nano,heavy,0.471314787864685,22,0.7272727272727273
BJ_Baidu_512,yolo_nano,heavy,0.4830730557441711,1,1.0
BJ_Baidu_528,yolo_nano,clear,0.1905689239501953,3,0.6666666666666666
BJ_Baidu_535,yolo_nano,heavy,0.6922070980072021,10,0.5
BJ_Baidu_536,yolo_nano,heavy,0.4671438336372375,13,0.07692307692307693
BJ_Baidu_559,yolo_nano,heavy,0.4941677451133728,3,1.0
BJ_Baidu_571,yolo_nano,moderate,0.4026859998703003,19,0.3157894736842105
BJ_Baidu_575,yolo_nano,heavy,0.5714014172554016,17,0.058823529411764705
BJ_Baidu_576,yolo_nano,heavy,0.5299797058105469,9,0.6666666666666666
BJ_Baidu_589,yolo_nano,heavy,0.6960040330886841,23,0.0
BJ_Baidu_590,yolo_nano,moderate,0.4061663746833801,1,0.0
BJ_Baidu_597,yolo_nano,heavy,0.5267914533615112,19,0.05263157894736842
BJ_Baidu_613,yolo_nano,heavy,0.5864381790161133,5,0.0
BJ_Baidu_633,yolo_nano,moderate,0.3658698797225952,31,0.03225806451612903
BJ_Baidu_653,yolo_nano,moderate,0.3570531606674194,12,0.3333333333333333
BJ_Baidu_657,yolo_nano,clear,0.2442736029624939,35,0.2
BJ_Baidu_672,yolo_nano,heavy,0.5609898567199707,8,0.25
BJ_Baidu_683,yolo_nano,heavy,0.6037096977233887,1,0.0
BJ_Baidu_684,yolo_nano,light,0.3092896938323974,5,0.2
BJ_Baidu_698,yolo_nano,heavy,0.6469069719314575,4,0.75
BJ_Baidu_704,yolo_nano,heavy,0.5641963481903076,1,0.0
BJ_Baidu_719,yolo_nano,heavy,0.4935551881790161,5,0.8
BJ_Baidu_720,yolo_nano,heavy,0.5200413465499878,7,0.2857142857142857
BJ_Baidu_748,yolo_nano,clear,0.2399306297302246,5,0.2
BJ_Baidu_754,yolo_nano,heavy,0.4532707333564758,14,0.14285714285714285
BJ_Baidu_773,yolo_nano,moderate,0.3888913989067077,20,0.15
BJ_Baidu_78,yolo_nano,heavy,0.7461149096488953,11,0.0
BJ_Baidu_800,yolo_nano,heavy,0.5470932722091675,31,0.12903225806451613
BJ_Baidu_831,yolo_nano,heavy,0.6093029975891113,60,0.03333333333333333
BJ_Baidu_832,yolo_nano,heavy,0.5394190549850464,7,0.2857142857142857
BJ_Baidu_842,yolo_nano,heavy,0.61788010597229,10,0.6
BJ_Baidu_873,yolo_nano,moderate,0.4114965200424194,19,0.47368421052631576
BJ_Baidu_891,yolo_nano,heavy,0.4890738725662231,1,0.0
BJ_Baidu_903,yolo_nano,heavy,0.5350676774978638,7,0.42857142857142855
BJ_Baidu_904,yolo_nano,heavy,0.7026239037513733,6,0.0
BJ_Baidu_909,yolo_nano,moderate,0.4094637632369995,8,0.5
BJ_Baidu_917,yolo_nano,clear,0.2429782748222351,11,0.36363636363636365
BJ_Baidu_960,yolo_nano,moderate,0.4009509682655334,32,0.65625
BJ_Baidu_966,yolo_nano,clear,0.0622438192367553,1,1.0
BJ_Baidu_972,yolo_nano,moderate,0.4000501036643982,32,0.25
BJ_Baidu_996,yolo_nano,clear,0.221297800540924,4,0.5
BJ_Bing_014,yolo_nano,heavy,0.570746660232544,2,1.0
BJ_Bing_031,yolo_nano,heavy,0.5210831165313721,8,1.0
BJ_Bing_059,yolo_nano,heavy,0.540906548500061,10,0.9
BJ_Bing_060,yolo_nano,moderate,0.3650832176208496,13,0.15384615384615385
BJ_Bing_064,yolo_nano,heavy,0.4998749494552612,11,0.36363636363636365
BJ_Bing_066,yolo_nano,heavy,0.5591424703598022,5,0.4
BJ_Bing_076,yolo_nano,moderate,0.4225647449493408,14,0.8571428571428571
BJ_Bing_082,yolo_nano,heavy,0.4698879718780517,47,0.3617021276595745
BJ_Bing_085,yolo_nano,heavy,0.6713823080062866,24,0.625
BJ_Bing_087,yolo_nano,moderate,0.4148358106613159,4,0.25
BJ_Bing_102,yolo_nano,light,0.2891336679458618,4,0.0
BJ_Bing_104,yolo_nano,heavy,0.5552297830581665,7,0.7142857142857143
BJ_Bing_105,yolo_nano,heavy,0.5910284519195557,22,0.7272727272727273
BJ_Bing_116,yolo_nano,heavy,0.4684719443321228,4,0.75
BJ_Bing_124,yolo_nano,heavy,0.6267218589782715,41,0.12195121951219512
BJ_Bing_131,yolo_nano,moderate,0.3421421647071838,14,0.6428571428571429
BJ_Bing_134,yolo_nano,heavy,0.6566582322120667,2,0.5
BJ_Bing_137,yolo_nano,moderate,0.3526484370231628,5,1.0
BJ_Bing_145,yolo_nano,moderate,0.3822125196456909,14,0.7142857142857143
BJ_Bing_150,yolo_nano,moderate,0.4059039950370788,3,0.0
BJ_Bing_157,yolo_nano,heavy,0.6303190588951111,42,0.2857142857142857
BJ_Bing_164,yolo_nano,heavy,0.6351602673530579,5,0.8
BJ_Bing_174,yolo_nano,moderate,0.4244279861450195,9,0.3333333333333333
BJ_Bing_185,yolo_nano,heavy,0.4470161199569702,26,0.34615384615384615
BJ_Bing_190,yolo_nano,heavy,0.4651141762733459,9,1.0
BJ_Bing_192,yolo_nano,heavy,0.5836201310157776,1,0.0
BJ_Bing_195,yolo_nano,heavy,0.5026360750198364,6,0.16666666666666666
BJ_Bing_206,yolo_nano,heavy,0.5464164018630981,8,1.0
BJ_Bing_213,yolo_nano,moderate,0.4117130637168884,20,0.05
BJ_Bing_214,yolo_nano,heavy,0.6644059419631958,9,0.5555555555555556
BJ_Bing_217,yolo_nano,light,0.2941424250602722,16,0.3125
BJ_Bing_224,yolo_nano,heavy,0.4597519636154175,5,0.0
BJ_Bing_236,yolo_nano,heavy,0.6497862339019775,14,0.07142857142857142
BJ_Bing_261,yolo_nano,light,0.3306761384010315,10,0.8
BJ_Bing_266,yolo_nano,heavy,0.6113348603248596,21,0.3333333333333333
BJ_Bing_271,yolo_nano,heavy,0.5472091436386108,3,0.0
BJ_Bing_272,yolo_nano,heavy,0.4700466990470886,3,0.3333333333333333
BJ_Bing_284,yolo_nano,heavy,0.5401366949081421,10,0.3
BJ_Bing_319,yolo_nano,heavy,0.5825669765472412,13,0.23076923076923078
BJ_Bing_337,yolo_nano,light,0.3341924548149109,1,0.0
BJ_Bing_344,yolo_nano,heavy,0.5981740951538086,13,0.7692307692307693
BJ_Bing_381,yolo_nano,heavy,0.5783300399780273,39,0.0
BJ_Bing_385,yolo_nano,heavy,0.6812305450439453,20,0.7
BJ_Bing_392,yolo_nano,heavy,0.5560585260391235,11,0.09090909090909091
BJ_Bing_406,yolo_nano,moderate,0.3810257315635681,5,0.6
BJ_Bing_418,yolo_nano,clear,0.2076829075813293,6,0.0
BJ_Bing_419,yolo_nano,heavy,0.683039665222168,11,0.5454545454545454
BJ_Bing_427,yolo_nano,moderate,0.4268583655357361,27,0.07407407407407407
